timestamps,TP9,AF7,AF8,TP10
1660049417,-14.16,-35.645,-37.598,-17.09
1660049417,-26.855,-56.152,-52.734,-34.668
1660049417,-29.297,-35.645,-33.691,-28.32
1660049417,-26.367,-14.648,-26.367,-19.531
1660049417,-40.039,-57.129,-34.668,-25.879
1660049417,-45.898,-25.879,-33.203,-20.02
1660049417,-39.062,-4.883,-39.551,-20.996
1660049417,-20.996,-32.227,-36.621,-30.762
1660049417,-46.875,-53.223,-36.621,-44.922
1660049417,-54.199,-38.574,-36.133,-35.645
1660049417,-23.438,0,-33.203,-11.23
1660049417,-22.461,-14.16,-37.598,-24.414
1660049417,-28.32,-58.105,-51.27,-13.184
1660049417,-31.738,-22.949,-39.062,-22.949
1660049417,-31.25,-15.137,-32.227,-31.25
1660049417,-36.133,-55.176,-40.039,-29.785
1660049417,-42.48,-82.52,-51.27,-25.879
1660049417,-36.133,-48.34,-48.34,-21.484
1660049417,-23.438,29.785,-31.25,-9.277
1660049417,-20.996,-18.555,-26.855,-24.414
1660049417,-28.32,-58.105,-51.27,-13.184
1660049417,-31.738,-22.949,-39.062,-22.949
1660049417,-31.25,-15.137,-32.227,-31.25
1660049417,-36.133,-55.176,-40.039,-29.785
1660049417,-42.48,-82.52,-51.27,-25.879
1660049417,-36.133,-48.34,-48.34,-21.484
1660049417,-23.438,29.785,-31.25,-9.277
1660049417,-20.996,-18.555,-26.855,-24.414
1660049417,-28.32,-58.105,-51.27,-13.184
1660049417,-31.738,-22.949,-39.062,-22.949
1660049417,-31.25,-15.137,-32.227,-31.25
1660049417,-36.133,-55.176,-40.039,-29.785
1660049417,-42.48,-82.52,-51.27,-25.879
1660049417,-36.133,-48.34,-48.34,-21.484
1660049417,-23.438,29.785,-31.25,-9.277
1660049417,-20.996,-18.555,-26.855,-24.414
1660049417,-34.668,-63.477,-28.32,-39.551
1660049417,-40.527,-30.762,-29.785,-25.879
1660049417,-27.344,-22.949,-32.715,-16.602
1660049417,-30.273,-42.48,-36.621,-27.344
1660049417,-42.969,-43.945,-27.832,-23.438
1660049417,-36.133,3.906,-11.719,-8.789
1660049417,-27.832,-6.348,-22.949,-13.672
1660049417,-29.297,-60.547,-42.969,-18.066
1660049417,-42.48,-58.594,-43.945,-29.297
1660049417,-32.715,7.324,-16.602,-17.09
1660049417,-10.742,11.719,-5.859,6.836
1660049417,-25.879,-47.363,-37.598,-16.602
1660049417,-34.668,-63.477,-28.32,-39.551
1660049417,-40.527,-30.762,-29.785,-25.879
1660049417,-27.344,-22.949,-32.715,-16.602
1660049417,-30.273,-42.48,-36.621,-27.344
1660049417,-42.969,-43.945,-27.832,-23.438
1660049417,-36.133,3.906,-11.719,-8.789
1660049417,-27.832,-6.348,-22.949,-13.672
1660049417,-29.297,-60.547,-42.969,-18.066
1660049417,-42.48,-58.594,-43.945,-29.297
1660049417,-32.715,7.324,-16.602,-17.09
1660049417,-10.742,11.719,-5.859,6.836
1660049417,-25.879,-47.363,-37.598,-16.602
1660049417,-34.668,-59.082,-55.664,-24.902
1660049417,-31.25,-47.363,-41.504,-17.09
1660049417,-38.574,-40.039,-33.203,-20.996
1660049417,-40.039,-37.598,-29.785,-21.484
1660049417,-33.691,-39.551,-36.621,-15.625
1660049417,-29.297,-27.344,-46.387,-27.832
1660049417,-30.273,-33.691,-40.527,-30.273
1660049417,-41.504,-55.176,-34.18,-29.785
1660049417,-34.18,-54.688,-33.691,-25.391
