timestamps,TP9,AF7,AF8,TP10
1660571259.272,-854.980,-816.895,-68.848,51.270
1660571259.276,158.691,175.781,-74.219,-15.137
1660571259.280,-1000.000,-1000.000,-50.781,-153.320
1660571259.284,-733.398,-841.309,-32.715,-157.227
1660571259.288,557.617,489.746,-29.297,-2.930
1660571259.292,-831.055,-799.805,-24.414,91.309
1660571259.296,232.910,208.984,-51.758,17.578
1660571259.299,-1000.000,-990.234,-43.945,-119.141
1660571259.303,-946.777,-1000.000,-6.836,-152.344
1660571259.307,210.449,-59.082,-5.859,-51.270
1660571259.311,-823.242,-795.898,-13.672,52.246
1660571259.315,356.445,354.492,-46.875,30.762
1660571259.317,-954.102,-952.637,-52.734,-131.348
1660571259.321,-1000.000,-1000.000,-1.953,-207.520
1660571259.325,34.668,-107.422,-22.461,-73.730
1660571259.329,-848.633,-825.684,-76.172,64.453
1660571259.333,527.832,512.207,-106.445,86.914
1660571259.337,-814.453,-867.676,-139.160,-42.480
1660571259.341,-1000.000,-1000.000,-144.531,-107.422
1660571259.344,5.371,-76.660,107.910,5.371
1660571259.348,-882.812,-833.496,268.066,83.496
1660571259.352,699.219,545.410,320.312,49.805
1660571259.356,-576.660,-805.664,488.281,-65.430
1660571259.360,-1000.000,-1000.000,563.965,-177.246
1660571259.317,-954.102,-952.637,-52.734,-131.348
1660571259.321,-1000.000,-1000.000,-1.953,-207.520
1660571259.325,34.668,-107.422,-22.461,-73.730
1660571259.329,-848.633,-825.684,-76.172,64.453
1660571259.333,527.832,512.207,-106.445,86.914
1660571259.337,-814.453,-867.676,-139.160,-42.480
1660571259.341,-1000.000,-1000.000,-144.531,-107.422
1660571259.344,5.371,-76.660,107.910,5.371
1660571259.348,-882.812,-833.496,268.066,83.496
1660571259.352,699.219,545.410,320.312,49.805
1660571259.356,-576.660,-805.664,488.281,-65.430
1660571259.360,-1000.000,-1000.000,563.965,-177.246
1660571259.317,-954.102,-952.637,-52.734,-131.348
1660571259.321,-1000.000,-1000.000,-1.953,-207.520
1660571259.325,34.668,-107.422,-22.461,-73.730
1660571259.329,-848.633,-825.684,-76.172,64.453
1660571259.333,527.832,512.207,-106.445,86.914
1660571259.337,-814.453,-867.676,-139.160,-42.480
1660571259.341,-1000.000,-1000.000,-144.531,-107.422
1660571259.344,5.371,-76.660,107.910,5.371
1660571259.348,-882.812,-833.496,268.066,83.496
1660571259.352,699.219,545.410,320.312,49.805
1660571259.356,-576.660,-805.664,488.281,-65.430
1660571259.360,-1000.000,-1000.000,563.965,-177.246
1660571259.362,-171.875,-183.105,623.047,-146.973
1660571259.366,-969.238,991.211,605.469,-19.043
1660571259.370,923.340,-956.055,529.785,64.941
1660571259.374,-248.535,-86.914,295.410,-56.152
